year	title	tag0	tag1	tag2	tag3	tag4	tag5	tag6	tag7	tag8	tag9	tag10	tag11	tag12	tag13	tag14	tag15	tag16	tag17	tag18	tag19	tag20	tag21	tag22
2024	End-to-end Parsing of Procedural Text into Flow Graphs	CITY:Tornoto	DATA:Entity-Centric	LANGUAGE:EN	TASK:Instruction Parsing	VENUE:COLLING																		
2021	End-to-End Learning of Flowchart Grounded Task-Oriented Dialogs (FLONET)	CITY:New Delhi	DATA:Task-Centric	DOMAIN:Customer Support	DOMAIN:Technical Manual	LANGUAGE:EN	TASK:Grounded Task-Oriented Dialogue	VENUE:EMNLP																
2022	Emergent World Representations: Exploring a Sequence Model Trained on a Synthetic Task	CITY:Cambridge Massachusetts	DATA:Symbolic	DOMAIN:Logical Reasoning	ENV:Game	LANGUAGE:EN	TASK:Grounded Task Execution	VENUE:ICLR																
2017	Embodied Question Answering	CITY:Atlanta	DATA:Symbolic	DOMAIN:Navigation	ENV:Navigation	LANGUAGE:EN	TASK:Grounded Task Execution	VENUE:CVPR																
2022	Draw Me a Flower: Processing and Grounding Abstraction in Natural Language	CITY:Ramat Gan	DATA:Symbolic	DOMAIN:Gaming	ENV:Game	LANGUAGE:EN	TASK:Grounded Task Execution	VENUE:TACL																
2020	doc2dial: A Goal-Oriented Document-Grounded Dialogue Dataset	CITY:Yorktown Heights	DATA:Task-Centric	DOMAIN:Customer Support	DOMAIN:Government	LANGUAGE:EN	TASK:Grounded Task-Oriented Dialogue	VENUE:EMNLP																
2022	Do As I Can, Not As I Say: Grounding Language in Robotic Affordances	CITY:Mountain View	DATA:Symbolic	DOMAIN:Robotic	ENV:Robotics	LANGUAGE:EN	TASK:Grounded Task Execution	VENUE:Conference on Robot Learning																
2017	Distilling Task Knowledge from How-To Communities	CITY:Saarbrucken	DATA:Unstructured	DOMAIN:Everyday Activities	LANGUAGE:EN	TASK:Knowledge Acquisition	VENUE:The Web Conference																	
2023	Distilling Script Knowledge from Large Language Models for Constrained Language Planning	CITY:Shanghai	DATA:Unstructured	LANGUAGE:EN	TASK:Procedural Generation	VENUE:ACL																		
2022	DialFRED: Dialogue-Enabled Agents for Embodied Instruction Following	CITY:Los Angeles	DATA:Symbolic	LANGUAGE:EN	TASK:Grounded Task-Oriented Dialogue	VENUE:IEEE Robotics and Automation Letters																		
2014	Determining Language for Human to Robot Navigational Commands	CITY:Cambridge Massachusetts	DATA:Symbolic	DOMAIN:Robotic	ENV:Robotics	LANGUAGE:EN	TASK:Grounded Task Execution	VENUE:Human Factors and Ergonomics Society Annual																
2016	DeScript: A Crowdsourced Corpus for the Acquisition of High-Quality Script Knowledge	CITY:Saarbrucken	DATA:Unstructured	DOMAIN:Instruction Manual	LANGUAGE:EN	TASK:Event Alignment	TASK:Instruction Parsing	VENUE:LREC																
2020	CraftAssist Instruction Parsing: Semantic Parsing for a Voxel-World Assistant	CITY:San Francisco	DATA:Task-Centric	DOMAIN:Gaming	LANGUAGE:EN	TASK:Grounded Task-Oriented Dialogue	VENUE:ACL																	
2022	Counterfactual Recipe Generation: Exploring Compositional Generalization in a Realistic Scenario	CITY:Beijing	DATA:Unstructured	LANGUAGE:ZH	TASK:Procedural Generation	VENUE:EMNLP																		
2020	Cookpad Parsed Corpus: Linguistic Annotations of Japanese Recipes	CITY:Yokohama	DATA:Task-Centric	DOMAIN:Cooking	LANGUAGE:JA	TASK:Instruction Parsing	VENUE:LAW																	
2023	CookDial: a dataset for task-oriented dialogs grounded in procedural documents	CITY:Ghent	DATA:Entity-Centric	DATA:Task-Centric	LANGUAGE:EN	TASK:Grounded Task-Oriented Dialogue	VENUE:Applied Intelligence																	
2023	Commonsense Temporal Action Knowledge (CoTAK) Dataset	CITY:Tokyo	DATA-ONLY	DATA:Task-Centric	LANGUAGE:EN	VENUE:International Conference on Information and																		
2019	Collaborative Dialogue in Minecraft	CITY:Champaign	DATA:Task-Centric	DOMAIN:Gaming	ENV:Game	LANGUAGE:EN	TASK:Grounded Task Execution	TASK:Grounded Task-Oriented Dialogue	VENUE:ACL															
2023	CLMSM: A Multi-Task Learning Framework for Pre-training on Procedural Text	CITY:Kharagpur	DATA:Entity-Centric	LANGUAGE:EN	TASK:Entity Tracking	TASK:Event Alignment	VENUE:EMNLP																	
2023	CLEVR-Implicit: A Diagnostic Dataset for Implicit Reasoning in Referring Expression Comprehension	CITY:Guangzhou	DATA:Unstructured	LANGUAGE:EN	TASK:Detecting and Correcting Implicit Statements	VENUE:EMNLP																		
2021	Chess as a Testbed for Language Model State Tracking	CITY:Chicago	DATA:Symbolic	DOMAIN:Gaming	ENV:Game	LANGUAGE:NONE	TASK:Grounded Task Execution	VENUE:AAAI																
2020	CHARTDIALOGS: Plotting from Natural Language Instructions	CITY:San Diego	DATA:Symbolic	DOMAIN:CODING	LANGUAGE:EN	TASK:Grounded Task-Oriented Dialogue	VENUE:ACL																	
2023	Causal Reasoning of Entities and Events in Procedural Texts	CITY:Philadelphia	DATA:Entity-Centric	LANGUAGE:EN	TASK:Entity Tracking	VENUE:EACL																		
2021	CALVIN: A Benchmark for Language-Conditioned Policy Learning for Long-Horizon Robot Manipulation Tasks	CITY:Freiburg im Breisgau	DATA:Symbolic	DOMAIN:Robotic	ENV:Robotics	LANGUAGE:EN	TASK:Grounded Task Execution	VENUE:IEEE Robotics and Automation Letters																
2024	Bertopic And NER Stop Words For Topic Modeling OnAgricultural Instructional Sentences	CITY:Bandung	DATA-ONLY	DATA:Entity-Centric	LANGUAGE:EN	LANGUAGE:IDN	VENUE:iCAST-ES																	
2023	Benchmarking Procedural Language Understanding for Low-Resource Languages: A Case Study on Turkish	CITY:Baltimore	DATA:Unstructured	LANGUAGE:TR	TASK:Question Answering 	TASK:Summarization	VENUE:IJCNLP																	
2019	Benchmarking Hierarchical Script Knowledge	CITY:Seattle	DATA:Unstructured	DOMAIN:Cooking	LANGUAGE:EN	TASK:Detecting and Correcting Implicit Statements	VENUE:NAACL																	
2010	Automatic construction of a large-scale situation ontology by mining how-to instructions from the web	CITY:Daejeon	DATA:Unstructured	DOMAIN:WikiHow	LANGUAGE:EN	TASK:Knowledge Acquisition	VENUE:Journal of Web Semantics																	
2024	AutoDSL: Automated domain-specific language design for structural representation of procedures with constraints	CITY:Beijing	DATA:Unstructured	LANGUAGE:EN	TASK:Instruction Parsing	VENUE:ACL																		
2024	ARTiST: Automated Text Simplification for Task Guidance in Augmented Reality	CITY:New York City	DATA:Task-Centric	DOMAIN:Everyday Activities	ENV:Augmented Reality	LANGUAGE:EN	TASK:Grounded Task Execution	VENUE:ACM Multimedia																
2022	Are All Steps Equally Important? Benchmarking Essentiality Detection of Events	CITY:Philadelphia	DATA:Unstructured	DOMAIN:WikiHow	LANGUAGE:EN	TASK:Question Answering 	VENUE:EMNLP																	
2011	Approaching the Symbol Grounding Problem with Probabilistic Graphical Models	CITY:Providence	DATA:Symbolic	DOMAIN:Robotic	ENV:Robotics	LANGUAGE:EN	TASK:Grounded Task Execution	VENUE:AAAI																
2021	AndroidEnv: A Reinforcement Learning Platform for Android	CITY:London	DATA:Symbolic	DOMAIN:Mobile	ENV:Mobile	LANGUAGE:EN	TASK:Grounded Task Execution	VENUE:Arxiv																
2020	Analogous Parsing for Sub-event Sequence Prediction	CITY:Hong Kong	DATA:Task-Centric	DOMAIN:WikiHow	LANGUAGE:EN	TASK:Instruction Parsing	VENUE:EMNLP																	
2020	An Approach for Process Model Extraction by Multi-grained Text Classification	CITY:Beijing	DATA:Task-Centric	DOMAIN:Business	LANGUAGE:EN	TASK:Instruction Parsing	VENUE:International Conference on Advanced Informa																	
2021	Aligning Actions Across Recipe Graphs	CITY:Saarbrucken	DATA:Task-Centric	LANGUAGE:EN	TASK:Event Alignment	VENUE:EMNLP																		
2020	ALFRED A Benchmark for Interpreting Grounded Instructions for Everyday Tasks	CITY:Seattle	DATA:Symbolic	DOMAIN:Household	ENV:Navigation	LANGUAGE:EN	TASK:Grounded Task Execution	VENUE:CVPR																
2021	Action-Based Conversations Dataset: A Corpus for Building More In-Depth Task-Oriented Dialogue Systems	CITY:New York City	DATA:Symbolic	DOMAIN:Customer Support	LANGUAGE:EN	TASK:Grounded Task-Oriented Dialogue	VENUE:NAACL																	
2020	A Recipe for Creating Multimodal Aligned Datasets for Sequential Tasks	CITY:Palo Alto	DATA:Unstructured	DOMAIN:Cooking	LANGUAGE:EN	TASK:Event Alignment	VENUE:ACL																	
2023	A Real-World WebAgent with Planning, Long Context Understanding, and Program Synthesis	CITY:London	DATA:Symbolic	DOMAIN:Web	ENV:Web	LANGUAGE:EN	TASK:Grounded Task Execution	VENUE:ICLR																
2014	A Natural Language Planner Interface for Mobile Manipulators	CITY:Cambridge Massachusetts	DATA:Symbolic	DOMAIN:Robotic	ENV:Robotics	LANGUAGE:EN	TASK:Grounded Task Execution	VENUE:IEEE Robotics and Automation Letters																
2020	A Named Entity Based Approach to Model Recipes	CITY:New Delhi	DATA:Entity-Centric	DATA:Task-Centric	DOMAIN:Cooking	LANGUAGE:EN	TASK:Instruction Parsing	VENUE:International Conference on Data Engineering																
2015	A Framework for Procedural Text Understanding	CITY:Tokyo	DATA:Entity-Centric	DATA:Task-Centric	DOMAIN:Instruction Manual	LANGUAGE:JA	TASK:Instruction Parsing	VENUE:International Conference on Parsing Technolo																
2020	A Dataset for Tracking Entities in Open Domain Procedural Text	CITY:Seattle	DATA:Entity-Centric	DOMAIN:WikiHow	LANGUAGE:EN	TASK:Entity Tracking	VENUE:EMNLP																	
2022	A Dataset for Interactive Vision-Language Navigation with Unknown Command Feasibility	CITY:Boston	DATA:Symbolic	DOMAIN:Mobile	ENV:Mobile	LANGUAGE:EN	TASK:Grounded Task Execution	VENUE:ECCV																
2019	A context-aware knowledge acquisition for planning applications using ontologies	CITY:Valencia	DATA:Entity-Centric	DOMAIN:Robotic	LANGUAGE:EN	TASK:Knowledge Acquisition	VENUE:arxiv																	
2023	A BERT-based Intent Recognition and Slot Filling Joint Model for Air Traffic Control Instruction Understanding	CITY:Beijing	DATA:Task-Centric	LANGUAGE:ZH	TASK:Instruction Parsing	VENUE:Symposium on Dependable Autonomic and Secure																		
2020	"What Are You Trying to Do?" Semantic Typing of Event Processes	CITY:Philadelphia	DATA:Unstructured	DOMAIN:WikiHow	LANGUAGE:EN	TASK:Knowledge Acquisition	VENUE:Conference on Computational Natural Language																	
